,week,State,5g network,5g coronavirus,5g is coronavirus,5g coronavirus conspiracy,5g network radiation,5g towers near me,side effects of 5g network,5g network dangerous
313,2020-02-12 2020-02-19,Delaware,0,0,0,0,0,0,0,0
314,2020-02-12 2020-02-19,District of Columbia,42,0,0,0,0,0,0,0
315,2020-02-12 2020-02-19,Florida,4,33,0,0,0,17,0,0
316,2020-02-12 2020-02-19,Georgia,19,35,0,0,0,0,0,0
317,2020-02-12 2020-02-19,Hawaii,0,0,0,0,0,0,0,0
318,2020-02-12 2020-02-19,Idaho,36,0,0,0,0,0,0,0
319,2020-02-12 2020-02-19,Illinois,4,27,0,0,0,27,0,0
320,2020-02-12 2020-02-19,Indiana,8,0,0,0,0,0,0,0
321,2020-02-12 2020-02-19,Iowa,0,0,0,0,0,0,0,0
322,2020-02-12 2020-02-19,Kansas,21,0,0,0,0,0,0,0
323,2020-02-12 2020-02-19,Kentucky,26,0,0,0,0,100,0,0
324,2020-02-12 2020-02-19,Louisiana,0,0,0,0,0,0,0,0
325,2020-02-12 2020-02-19,Maine,0,0,0,0,0,0,0,0
326,2020-02-12 2020-02-19,Maryland,19,0,0,0,0,0,0,0
327,2020-02-12 2020-02-19,Massachusetts,13,49,0,0,0,50,0,0
328,2020-02-12 2020-02-19,Michigan,27,0,0,0,0,42,0,0
329,2020-02-12 2020-02-19,Minnesota,9,0,0,0,0,0,0,0
330,2020-02-12 2020-02-19,Mississippi,24,0,0,0,0,0,0,0
331,2020-02-12 2020-02-19,Missouri,9,0,0,0,0,0,0,0
332,2020-02-12 2020-02-19,Montana,62,0,0,0,0,0,0,0
333,2020-02-12 2020-02-19,Nebraska,26,0,0,0,0,0,0,0
334,2020-02-12 2020-02-19,Nevada,26,0,0,0,0,0,0,0
335,2020-02-12 2020-02-19,New Hampshire,39,0,0,0,0,0,0,0
336,2020-02-12 2020-02-19,New Jersey,13,39,0,0,0,40,0,0
337,2020-02-12 2020-02-19,New Mexico,28,0,0,0,0,0,0,0
338,2020-02-12 2020-02-19,New York,12,46,0,0,0,0,0,0
339,2020-02-12 2020-02-19,North Carolina,18,34,0,0,0,34,0,0
340,2020-02-12 2020-02-19,North Dakota,0,0,0,0,0,0,0,0
341,2020-02-12 2020-02-19,Ohio,8,0,0,0,0,31,0,0
342,2020-02-12 2020-02-19,Oklahoma,32,0,100,0,0,0,0,0
343,2020-02-12 2020-02-19,Oregon,19,94,0,0,0,0,0,0
344,2020-02-12 2020-02-19,Pennsylvania,8,29,0,0,0,0,0,0
345,2020-02-12 2020-02-19,Rhode Island,44,0,0,0,0,0,0,0
346,2020-02-12 2020-02-19,South Carolina,28,0,0,0,0,0,0,0
347,2020-02-12 2020-02-19,South Dakota,0,0,0,0,0,0,0,0
348,2020-02-12 2020-02-19,Tennessee,16,0,0,0,0,0,0,0
349,2020-02-12 2020-02-19,Texas,7,0,10,0,0,13,0,0
350,2020-02-12 2020-02-19,Utah,0,0,0,0,0,0,0,0
351,2020-02-12 2020-02-19,Vermont,0,0,0,0,0,0,0,0
352,2020-02-12 2020-02-19,Virginia,11,0,0,0,0,42,0,0
353,2020-02-12 2020-02-19,Washington,13,100,0,0,0,0,0,0
