,geoName,week,is coronavirus bioweapon,is coronavirus a bioweapon,was coronavirus a bioweapon,coronavirus bioweapon,covid bioweapon
371,Indiana,2020-02-19 2020-02-26,0,0,0,14,0
372,Iowa,2020-02-19 2020-02-26,0,0,0,30,0
373,Kansas,2020-02-19 2020-02-26,0,0,0,0,0
374,Kentucky,2020-02-19 2020-02-26,0,0,0,0,0
375,Louisiana,2020-02-19 2020-02-26,0,0,0,0,0
376,Maine,2020-02-19 2020-02-26,0,0,0,0,0
377,Maryland,2020-02-19 2020-02-26,59,0,0,12,0
378,Massachusetts,2020-02-19 2020-02-26,52,72,0,21,52
379,Michigan,2020-02-19 2020-02-26,0,0,0,18,0
380,Minnesota,2020-02-19 2020-02-26,0,100,0,0,0
381,Mississippi,2020-02-19 2020-02-26,0,0,0,0,0
382,Missouri,2020-02-19 2020-02-26,0,0,0,14,0
383,Montana,2020-02-19 2020-02-26,0,0,0,100,0
384,Nebraska,2020-02-19 2020-02-26,0,0,0,43,0
385,Nevada,2020-02-19 2020-02-26,0,0,0,27,0
386,New Hampshire,2020-02-19 2020-02-26,0,0,0,0,0
387,New Jersey,2020-02-19 2020-02-26,41,0,0,17,41
388,New Mexico,2020-02-19 2020-02-26,0,0,0,0,0
389,New York,2020-02-19 2020-02-26,17,0,0,17,17
390,North Carolina,2020-02-19 2020-02-26,34,0,0,14,0
391,North Dakota,2020-02-19 2020-02-26,0,0,0,0,0
392,Ohio,2020-02-19 2020-02-26,0,0,0,0,0
393,Oklahoma,2020-02-19 2020-02-26,0,0,0,0,0
394,Oregon,2020-02-19 2020-02-26,100,0,0,20,100
395,Pennsylvania,2020-02-19 2020-02-26,0,0,0,13,0
396,Rhode Island,2020-02-19 2020-02-26,0,0,0,0,0
397,South Carolina,2020-02-19 2020-02-26,0,0,0,18,0
398,South Dakota,2020-02-19 2020-02-26,0,0,0,0,0
399,Tennessee,2020-02-19 2020-02-26,0,0,0,0,0
400,Texas,2020-02-19 2020-02-26,13,37,0,8,13
401,Utah,2020-02-19 2020-02-26,0,0,0,26,0
402,Vermont,2020-02-19 2020-02-26,0,0,0,0,0
403,Virginia,2020-02-19 2020-02-26,0,0,0,9,0
404,Washington,2020-02-19 2020-02-26,0,0,0,11,0
405,West Virginia,2020-02-19 2020-02-26,0,0,0,0,0
406,Wisconsin,2020-02-19 2020-02-26,0,100,0,44,0
407,Wyoming,2020-02-19 2020-02-26,0,0,0,0,0
408,Alabama,2020-02-26 2020-03-04,0,0,0,0,0
409,Alaska,2020-02-26 2020-03-04,0,0,0,0,0
410,Arizona,2020-02-26 2020-03-04,0,0,0,8,0
411,Arkansas,2020-02-26 2020-03-04,0,0,0,0,0
412,California,2020-02-26 2020-03-04,4,8,0,7,9
413,Colorado,2020-02-26 2020-03-04,0,0,0,9,0
414,Connecticut,2020-02-26 2020-03-04,0,0,0,28,0
415,Delaware,2020-02-26 2020-03-04,0,0,0,0,0
416,District of Columbia,2020-02-26 2020-03-04,0,0,0,0,0
417,Florida,2020-02-26 2020-03-04,8,14,0,2,0
418,Georgia,2020-02-26 2020-03-04,0,0,0,13,0
419,Hawaii,2020-02-26 2020-03-04,0,0,0,0,0
420,Idaho,2020-02-26 2020-03-04,0,0,0,39,0
421,Illinois,2020-02-26 2020-03-04,13,46,0,10,0
422,Indiana,2020-02-26 2020-03-04,0,0,0,9,0
423,Iowa,2020-02-26 2020-03-04,0,0,0,0,0
424,Kansas,2020-02-26 2020-03-04,0,0,0,23,0
425,Kentucky,2020-02-26 2020-03-04,0,0,0,0,0
426,Louisiana,2020-02-26 2020-03-04,0,0,0,0,0
427,Maine,2020-02-26 2020-03-04,0,0,0,0,0
428,Maryland,2020-02-26 2020-03-04,0,0,0,8,0
429,Massachusetts,2020-02-26 2020-03-04,0,0,0,7,100
430,Michigan,2020-02-26 2020-03-04,0,0,0,6,0
431,Minnesota,2020-02-26 2020-03-04,0,0,0,0,0
432,Mississippi,2020-02-26 2020-03-04,0,0,0,0,0
